zone,rep area,venue name,area,source,date found,google maps link,phone,score,status,instagram,last touch,next action
B1,B1 Eve · Inner Sukhumvit core,Sasa Khaotom Bar,Thonglor,BK Magazine / Friday Bangkok,2026-07-13,https://www.google.com/maps/search/?api=1&query=Sasa+Khaotom+Bar+Thonglor+Bangkok,,70,New,sasa_khaotombar,,
B1,B1 Eve · Inner Sukhumvit core,Tempo Room (House of Tango),Sukhumvit,Koktail Magazine (Apr 2026 new openings),2026-07-10,https://www.google.com/maps/search/?api=1&query=Tempo+Room+%28House+of+Tango%29+Sukhumvit+Bangkok,,55,New,,,
B2,B2 Bo · Inner Silom-Sathorn + Ari/Phaya Thai,Dok Kaew House Bar,Phaya Thai,BK Magazine / Bangkok Beer Guide / TripAdvisor,2026-07-13,https://www.google.com/maps/search/?api=1&query=Dok+Kaew+House+Bar+Phaya+Thai+Bangkok,086-398-8563,70,New,,,
B2,B2 Bo · Inner Silom-Sathorn + Ari/Phaya Thai,Taproom x Ari,Ari,Time Out / The Momentum / Wongnai (Thai),2026-07-13,https://www.google.com/maps/search/?api=1&query=Taproom+x+Ari+Ari+Bangkok,,70,New,,,
B2,B2 Bo · Inner Silom-Sathorn + Ari/Phaya Thai,Sala Saneha,Silom,Time Out Bangkok (best new bars 2026),2026-07-10,https://www.google.com/maps/search/?api=1&query=Sala+Saneha+Silom+Bangkok,,40,New,,,
B2,B2 Bo · Inner Silom-Sathorn + Ari/Phaya Thai,Cherry Olive Cocktail Club,Silom,Friday Club Mag / Time Out,2026-07-13,https://www.google.com/maps/search/?api=1&query=Cherry+Olive+Cocktail+Club+Silom+Bangkok,,30,New,,,
B2,B2 Bo · Inner Silom-Sathorn + Ari/Phaya Thai,Urbani Bangkok (Sathorn Square),Sathorn,Masala Thai (Jul 2026),2026-07-10,https://www.google.com/maps/search/?api=1&query=Urbani+Bangkok+%28Sathorn+Square%29+Sathorn+Bangkok,,25,New,,,
B2,B2 Bo · Inner Silom-Sathorn + Ari/Phaya Thai,Silo,Silom,Koktail Magazine / The NOISE,2026-07-10,https://www.google.com/maps/search/?api=1&query=Silo+Silom+Bangkok,,20,New,,,
B3,B3 Es · Old Town / Chinatown / Thonburi-West,Hannibal Bar,Yaowarat,Time Out Bangkok (Thai) / Friday Bangkok,2026-07-10,https://www.google.com/maps/search/?api=1&query=Hannibal+Bar+Yaowarat+Bangkok,,30,New,,,
B4,B4 Almond · East / Southeast (Ekkamai → Samut Prakan),The Carnival BKK,Udomsuk,Lemon8 (Thai),2026-07-13,https://www.google.com/maps/search/?api=1&query=The+Carnival+BKK+Bangna+Bangkok,,55,New,,,
B4,B4 Almond · East / Southeast (Ekkamai → Samut Prakan),81 Cozy & Speakeasy Bar,On Nut,Lemon8 / TikTok (Thai),2026-07-13,https://www.google.com/maps/search/?api=1&query=81+Cozy+%26+Speakeasy+Bar+On+Nut+Bangkok,0928296719,30,New,,,
B4,B4 Almond · East / Southeast (Ekkamai → Samut Prakan),PICKLEBOY Coffee & Burger,Udomsuk,Masala Thai (Jun 2026),2026-07-10,https://www.google.com/maps/search/?api=1&query=PICKLEBOY+Coffee+%26+Burger+Udomsuk+Bangkok,,10,New,,,
B5,B5 Champ · North suburbs (Nonthaburi → Pathum Thani),Craft Estate,Nonthaburi,Lemon8 / Facebook (Thai),2026-07-13,https://www.google.com/maps/search/?api=1&query=Craft+Estate+Nonthaburi+Bangkok,,55,New,,,
B5,B5 Champ · North suburbs (Nonthaburi → Pathum Thani),Eleven Craft,Ratchapruek,Lemon8 (Thai),2026-07-13,https://www.google.com/maps/search/?api=1&query=Eleven+Craft+Ratchapruek+Bangkok,,55,New,,,
—,Unassigned,Blessing Shophouse,Bangkok (TBC),"Time Out Bangkok (Thai, new bars)",2026-07-10,https://www.google.com/maps/search/?api=1&query=Blessing+Shophouse+Bangkok+%28TBC%29+Bangkok,,20,New,,,
